law_url,abstract_url,is_standardized
https://zakon.rada.gov.ua/laws/show/en/396-20,,
https://zakon.rada.gov.ua/laws/show/en/385-20,,
https://zakon.rada.gov.ua/laws/show/en/361-20,,
https://zakon.rada.gov.ua/laws/show/en/2745-19,,
https://zakon.rada.gov.ua/laws/show/en/2704-19,,
https://zakon.rada.gov.ua/laws/show/en/2697-19,,
https://zakon.rada.gov.ua/laws/show/en/2597-19,,
https://zakon.rada.gov.ua/laws/show/en/2496-19,,
https://zakon.rada.gov.ua/laws/show/en/2473-19,,
https://zakon.rada.gov.ua/laws/show/en/2415-19,,
https://zakon.rada.gov.ua/laws/show/en/2354-19,,
https://zakon.rada.gov.ua/laws/show/en/2189-19,,
https://zakon.rada.gov.ua/laws/show/en/2168-19,,
https://zakon.rada.gov.ua/laws/show/en/2163-19,,
https://zakon.rada.gov.ua/laws/show/en/2145-19,,
https://zakon.rada.gov.ua/laws/show/en/2136-19,,
https://zakon.rada.gov.ua/laws/show/en/2118-19,,
https://zakon.rada.gov.ua/laws/show/en/2059-19,,
https://zakon.rada.gov.ua/laws/show/en/2019-19,,
https://zakon.rada.gov.ua/laws/show/en/1977-19,,
https://zakon.rada.gov.ua/laws/show/en/1834-19,,
https://zakon.rada.gov.ua/laws/show/en/1402-19,,
https://zakon.rada.gov.ua/laws/show/en/1403-19,,
https://zakon.rada.gov.ua/laws/show/en/922-19,,
https://zakon.rada.gov.ua/laws/show/en/887-19,,
https://zakon.rada.gov.ua/laws/show/en/856-19,,
https://zakon.rada.gov.ua/laws/show/en/848-19,,
https://zakon.rada.gov.ua/laws/show/en/675-19,,
https://zakon.rada.gov.ua/laws/show/en/327-19,,
https://zakon.rada.gov.ua/laws/show/en/329-19,,
https://zakon.rada.gov.ua/laws/show/en/222-19,,
https://zakon.rada.gov.ua/laws/show/en/1700-18,,
https://zakon.rada.gov.ua/laws/show/en/1669-18,https://zakon.rada.gov.ua/laws/anot/en/1669-18,
https://zakon.rada.gov.ua/laws/show/en/1644-18,https://zakon.rada.gov.ua/laws/anot/en/1644-18,
https://zakon.rada.gov.ua/laws/show/en/1556-18,https://zakon.rada.gov.ua/laws/anot/en/1556-18,
https://zakon.rada.gov.ua/laws/show/en/1207-18,https://zakon.rada.gov.ua/laws/anot/en/1207-18,
https://zakon.rada.gov.ua/laws/show/en/5403-17,https://zakon.rada.gov.ua/laws/anot/en/5403-17,
https://zakon.rada.gov.ua/laws/show/en/5293-17,https://zakon.rada.gov.ua/laws/anot/en/5293-17,
https://zakon.rada.gov.ua/laws/show/en/5207-17,,0.0
https://zakon.rada.gov.ua/laws/show/en/5073-17,https://zakon.rada.gov.ua/laws/anot/en/5073-17,
https://zakon.rada.gov.ua/laws/show/en/5080-17,https://zakon.rada.gov.ua/laws/anot/en/5080-17,
https://zakon.rada.gov.ua/laws/show/en/5018-17,https://zakon.rada.gov.ua/laws/anot/en/5018-17,
https://zakon.rada.gov.ua/laws/show/en/4901-17,https://zakon.rada.gov.ua/laws/anot/en/4901-17,
https://zakon.rada.gov.ua/laws/show/en/4709-17,https://zakon.rada.gov.ua/laws/anot/en/4709-17,
https://zakon.rada.gov.ua/laws/show/en/4651-17,https://zakon.rada.gov.ua/laws/anot/en/4651-17,
https://zakon.rada.gov.ua/laws/show/en/4572-17,https://zakon.rada.gov.ua/laws/anot/en/4572-17,
https://zakon.rada.gov.ua/laws/show/en/4495-17,https://zakon.rada.gov.ua/laws/anot/en/4495-17,
https://zakon.rada.gov.ua/laws/show/en/3773-17,https://zakon.rada.gov.ua/laws/anot/en/3773-17,
https://zakon.rada.gov.ua/laws/show/en/3715-17,https://zakon.rada.gov.ua/laws/anot/en/3715-17,
https://zakon.rada.gov.ua/laws/show/en/3687-17,https://zakon.rada.gov.ua/laws/anot/en/3687-17,
https://zakon.rada.gov.ua/laws/show/en/3671-17,https://zakon.rada.gov.ua/laws/anot/en/3671-17,
https://zakon.rada.gov.ua/laws/show/en/3392-17,https://zakon.rada.gov.ua/laws/anot/en/3392-17,
https://zakon.rada.gov.ua/laws/show/en/3268-17,https://zakon.rada.gov.ua/laws/anot/en/3268-17,
https://zakon.rada.gov.ua/laws/show/en/3038-17,https://zakon.rada.gov.ua/laws/anot/en/3038-17,
https://zakon.rada.gov.ua/laws/show/en/2939-17,https://zakon.rada.gov.ua/laws/anot/en/2939-17,
https://zakon.rada.gov.ua/laws/show/en/2778-17,https://zakon.rada.gov.ua/laws/anot/en/2778-17,
https://zakon.rada.gov.ua/laws/show/en/2735-17,https://zakon.rada.gov.ua/laws/anot/en/2735-17,
https://zakon.rada.gov.ua/laws/show/en/2456-17,https://zakon.rada.gov.ua/laws/anot/en/2456-17,
https://zakon.rada.gov.ua/laws/show/en/2404-17,https://zakon.rada.gov.ua/laws/anot/en/2404-17,
https://zakon.rada.gov.ua/laws/show/en/2297-17,,0.0
https://zakon.rada.gov.ua/laws/show/en/1704-17,https://zakon.rada.gov.ua/laws/anot/en/1704-17,
https://zakon.rada.gov.ua/laws/show/en/574-17,,0.0
https://zakon.rada.gov.ua/laws/show/en/877-16,https://zakon.rada.gov.ua/laws/anot/en/877-16,
https://zakon.rada.gov.ua/laws/show/en/143-16,https://zakon.rada.gov.ua/laws/anot/en/143-16,
https://zakon.rada.gov.ua/laws/show/en/3477-15,,0.0
https://zakon.rada.gov.ua/laws/show/en/2860-15,https://zakon.rada.gov.ua/laws/anot/en/2860-15,
https://zakon.rada.gov.ua/laws/show/en/2862-15,,0.0
https://zakon.rada.gov.ua/laws/show/en/2709-15,https://zakon.rada.gov.ua/laws/anot/en/2709-15,
https://zakon.rada.gov.ua/laws/show/en/2662-15,https://zakon.rada.gov.ua/laws/anot/en/2662-15,
https://zakon.rada.gov.ua/laws/show/en/2633-15,https://zakon.rada.gov.ua/laws/anot/en/2633-15,
https://zakon.rada.gov.ua/laws/show/en/2604-15,https://zakon.rada.gov.ua/laws/anot/en/2604-15,
https://zakon.rada.gov.ua/laws/show/en/2509-15,https://zakon.rada.gov.ua/laws/anot/en/2509-15,
https://zakon.rada.gov.ua/laws/show/en/1955-15,https://zakon.rada.gov.ua/laws/anot/en/1955-15,
https://zakon.rada.gov.ua/laws/show/en/1906-15,https://zakon.rada.gov.ua/laws/anot/en/1906-15,
https://zakon.rada.gov.ua/laws/show/en/1914-15,https://zakon.rada.gov.ua/laws/anot/en/1914-15,
https://zakon.rada.gov.ua/laws/show/en/1864-15,https://zakon.rada.gov.ua/laws/anot/en/1864-15,
https://zakon.rada.gov.ua/laws/show/en/1862-15,https://zakon.rada.gov.ua/laws/anot/en/1862-15,
https://zakon.rada.gov.ua/laws/show/en/1861-15,https://zakon.rada.gov.ua/laws/anot/en/1861-15,
https://zakon.rada.gov.ua/laws/show/en/1618-15,https://zakon.rada.gov.ua/laws/anot/en/1618-15,
https://zakon.rada.gov.ua/laws/show/en/1629-15,https://zakon.rada.gov.ua/laws/anot/en/1629-15,
https://zakon.rada.gov.ua/laws/show/en/1382-15,https://zakon.rada.gov.ua/laws/anot/en/1382-15,
https://zakon.rada.gov.ua/laws/show/en/1129-15,https://zakon.rada.gov.ua/laws/anot/en/1129-15,
https://zakon.rada.gov.ua/laws/show/en/1115-15,,0.0
https://zakon.rada.gov.ua/laws/show/en/755-15,https://zakon.rada.gov.ua/laws/anot/en/755-15,
https://zakon.rada.gov.ua/laws/show/en/555-15,https://zakon.rada.gov.ua/laws/anot/en/555-15,
https://zakon.rada.gov.ua/laws/show/en/549-15,https://zakon.rada.gov.ua/laws/anot/en/549-15,
https://zakon.rada.gov.ua/laws/show/en/436-15,https://zakon.rada.gov.ua/laws/anot/en/436-15,
https://zakon.rada.gov.ua/laws/show/en/228-15,https://zakon.rada.gov.ua/laws/anot/en/228-15,
https://zakon.rada.gov.ua/laws/show/en/40-15,https://zakon.rada.gov.ua/laws/anot/en/40-15,
https://zakon.rada.gov.ua/laws/show/en/37-15,https://zakon.rada.gov.ua/laws/anot/en/37-15,
https://zakon.rada.gov.ua/laws/show/en/2947-14,https://zakon.rada.gov.ua/laws/anot/en/2947-14,
https://zakon.rada.gov.ua/laws/show/en/2918-14,https://zakon.rada.gov.ua/laws/anot/en/2918-14,
https://zakon.rada.gov.ua/laws/show/en/2786-14,,0.0
https://zakon.rada.gov.ua/laws/show/en/2768-14,https://zakon.rada.gov.ua/laws/anot/en/2768-14,
https://zakon.rada.gov.ua/laws/show/en/2665-14,https://zakon.rada.gov.ua/laws/anot/en/2665-14,
https://zakon.rada.gov.ua/laws/show/en/2664-14,https://zakon.rada.gov.ua/laws/anot/en/2664-14,
https://zakon.rada.gov.ua/laws/show/en/2623-14,https://zakon.rada.gov.ua/laws/anot/en/2623-14,
https://zakon.rada.gov.ua/laws/show/en/2491-14,https://zakon.rada.gov.ua/laws/anot/en/2491-14,
https://zakon.rada.gov.ua/laws/show/en/2341-14,,0.0
https://zakon.rada.gov.ua/laws/show/en/2344-14,https://zakon.rada.gov.ua/laws/anot/en/2344-14,
https://zakon.rada.gov.ua/laws/show/en/2235-14,https://zakon.rada.gov.ua/laws/anot/en/2235-14,
https://zakon.rada.gov.ua/laws/show/en/1644-14,https://zakon.rada.gov.ua/laws/anot/en/1644-14,
https://zakon.rada.gov.ua/laws/show/en/1391-14,https://zakon.rada.gov.ua/laws/anot/en/1391-14,
https://zakon.rada.gov.ua/laws/show/en/1370-14,https://zakon.rada.gov.ua/laws/anot/en/1370-14,
https://zakon.rada.gov.ua/laws/show/en/1172-14,https://zakon.rada.gov.ua/laws/anot/en/1172-14,
https://zakon.rada.gov.ua/laws/show/en/1068-14,,0.0
https://zakon.rada.gov.ua/laws/show/en/1039-14,,0.0
https://zakon.rada.gov.ua/laws/show/en/752-14,https://zakon.rada.gov.ua/laws/anot/en/752-14,
https://zakon.rada.gov.ua/laws/show/en/687-14,https://zakon.rada.gov.ua/laws/anot/en/687-14,
https://zakon.rada.gov.ua/laws/show/en/351-14,https://zakon.rada.gov.ua/laws/anot/en/351-14,
https://zakon.rada.gov.ua/laws/show/en/350-14,,0.0
https://zakon.rada.gov.ua/laws/show/en/309-14,https://zakon.rada.gov.ua/laws/anot/en/309-14,
https://zakon.rada.gov.ua/laws/show/en/161-14,https://zakon.rada.gov.ua/laws/anot/en/161-14,
https://zakon.rada.gov.ua/laws/show/en/9/98-%D0%B2%D1%80,https://zakon.rada.gov.ua/laws/anot/en/9/98-%D0%B2%D1%80,
https://zakon.rada.gov.ua/laws/show/en/771/97-%D0%B2%D1%80,https://zakon.rada.gov.ua/laws/anot/en/771/97-%D0%B2%D1%80,
https://zakon.rada.gov.ua/laws/show/en/671/97-%D0%B2%D1%80,,0.0
https://zakon.rada.gov.ua/laws/show/en/637/97-%D0%B2%D1%80,,0.0
https://zakon.rada.gov.ua/laws/show/en/468/97-%D0%B2%D1%80,https://zakon.rada.gov.ua/laws/anot/en/468/97-%D0%B2%D1%80,
https://zakon.rada.gov.ua/laws/show/en/393/96-%D0%B2%D1%80,https://zakon.rada.gov.ua/laws/anot/en/393/96-%D0%B2%D1%80,
