Approach,Method,rouge_1,rouge_2,rouge_L,avg_rouge,precision,recall,f1
extractive,ReductionSummarizer,0.4,0.17,0.21,0.26,0.83,0.83,0.83
zero_shot_abstractive,facebook_bart_large_cnn,0.41,0.18,0.21,0.27,0.85,0.85,0.85
zero_shot_abstractive,google_pegasus_cnn_dailymail,0.4,0.17,0.21,0.26,0.83,0.84,0.84
zero_shot_abstractive,t5_large,0.41,0.17,0.21,0.26,0.84,0.84,0.84
extractive,SumBasicSummarizer,0.19,0.07,0.12,0.13,0.85,0.81,0.83
extractive,LexRankSummarizer,0.41,0.16,0.21,0.26,0.83,0.83,0.83
extractive,LuhnSummarizer,0.41,0.17,0.21,0.26,0.83,0.83,0.83
extractive,TextRankSummarizer,0.4,0.17,0.21,0.26,0.83,0.83,0.83
extractive,RandomSummarizer,0.29,0.1,0.17,0.19,0.84,0.82,0.83
extractive,LsaSummarizer,0.35,0.12,0.2,0.22,0.83,0.83,0.83
extractive,KLSummarizer,0.35,0.13,0.2,0.23,0.83,0.82,0.83
extractive,EdmundsonSummarizer,0.32,0.13,0.18,0.21,0.85,0.83,0.84
