abstract_index,para_index,text
61,0,"The Law defines legal, organizational, social and economic principles of activity related to transportation of dangerous cargos by railway, sea, river, motor car and air transport."
61,1,The Law shall apply to:
61,2,"state management and state regulation of safety in the sphere of transportation of dangerous cargos;
performance of works and rendering of services related to transportation of dangerous cargos;
ensuring international liabilities in the sphere of transportation of dangerous cargos."
61,3,"The Law shall not apply to transportation of dangerous cargos on the territories of enterprises, institutions and organizations, where these cargos are produced or created, used or buried."
61,4,Basic tasks of the legislation on transportation of dangerous cargos shall be as follows:
61,5,"definition of the fundamentals and directions of state policy in the sphere of transportation of dangerous cargos;
definition of legal principles of state management and state regulation of safety in the sphere of transportation of dangerous cargos;
establishment of rights, duties and responsibility of the subjects of transportation of dangerous cargos."
61,6,"Subject to standardization shall be general technical and organizational methodical requirements for transportation of dangerous cargos, methods of their testing and marking. In case of road transportation, appropriateness of transport vehicles, equipment, skills of drivers shall be examined by Derzhavtoinspectsia of the Ministry of Internal Affairs of Ukraine and respective certificates on admission to transportation shall be issued. Transport vehicles, which transport dangerous cargos, shall meet requirements of the state standards, safety, protection of labor and ecology, and in the cases stipulated by law shall have respective marking and certificate on permit to transportation of dangerous cargos. Transportation of dangerous cargos shall be permitted at presence of appropriately registered transport documents. The list of and procedure for presenting such documents is determined by the normative legal acts which regulate transport activity."
61,7,"The Law introduces rights and duties of sender, carrier and recipient during preparation and conducting transportation of dangerous cargos."
61,8,"The conditions for transportation of dangerous cargos are determined by the normative legal acts which regulate transport activity. In case of absence of such acts, transportation of dangerous cargos shall be permitted under the conditions set according to the decision of respective bodies."
61,9,"Responsibility of subjects of transportation of dangerous cargos shall be obligatory insured according to set procedure. Health and life of employees, which participate in transportation of dangerous cargos, shall be obligatory insured against industrial accident and professional disease according to set procedure."
61,10,"The Law inscribes authorities of the Cabinet of Ministers of Ukraine, the Council of Ministers of the Autonomous Republic of Crimea, the specially authorized body of executive power and central body of executive power in the sphere of transport, Derzhavtoinspectsia of the Ministry of Internal Affairs of Ukraine, local state administrations and bodies of local self-government in the sphere of transportation of dangerous cargos."
61,11,"If the international Agreement of Ukraine sets the rules of transportation of dangerous cargos other than those envisaged by this Law, the rules of international agreement shall apply. Transit of dangerous cargos through the territory of Ukraine shall be conducted exclusively directly by one kind of transport without reloading to the other one."
95,0,"Article 3 of the Fundamentals provides definition of terms used in the Fundamentals. For example, health care is a system of measures aimed to preserving and developing physiological and psychological functions, optimal working capacity and social activity of a person, while providing maximum biologically possible individual life expectancy."
95,1,The main principles of health care are determined by Article 4 of the Fundamentals.
95,2,"According to Article 6 of the Fundamentals, every citizen of Ukraine has the right to health care, which entails:"
95,3,"a standard of living, which includes food, clothes, accommodation, medical care, social services and provision, which is necessary to maintain a person's health;
a natural environment that is safe for life and health;
sanitary and epidemic welfare of the territory and the population center where they reside;
safe and healthy conditions for work, education, everyday life and recreation;
qualified medical and sanitary aid, including free choice of a physician, and selection of treatment methods according to their recommendation, and selection of the health care facility;
reliable and timely information on the state of their health and public health, including the existing and possible risk factors, and degree thereof;
participation in discussing drafts of legislative acts and introducing suggestions to formation of the state health care policy;
participation in health care management and holding community expert analyses of the appropriate issues according to the procedure envisaged by the legislation;
possibility to form community organizations in order to facilitate health care;
legal protection against any illegal forms of discrimination related to the state of health;
compensation of damages caused to the health;
contesting illegitimate decisions and actions of health care employees, institutions and bodies;
possibility to hold an independent medical expert analysis in case a citizen disagrees with the conclusions of the state medical expert analysis, cases of compulsory medical treatment, and other cases when the actions of health care employees may derogate from human and citizen rights;
the right of a patient in inpatient care in a health care institution to be allowed visits from other medical employees, family members, guardian, custodian, notary and attorney, as well as a minister for an act of worship and a religious ceremony."
95,4,The guarantee of the right to health care is established by Article 7 of the Fundamentals.
95,5,"On the basis and according to the procedures established by the laws of Ukraine, citizens can be declared temporarily or permanently incapable of professional or other activity associated with a high degree of risk for others, as well as with exercising certain state functions, based on the state of their health (Article 9 of the Fundamentals)."
95,6,"According to Article 10 of the Fundamentals, citizens of Ukraine shall:"
95,7,"take care of their health and of the health of their children, refrain from damaging the health of others;
in cases provided for by the legislation, undergo prophylactic medical examinations and get vaccinations;
provide emergency aid to other citizens whose condition endangers their life and health;
fulfill other obligations provided for by the health care legislation."
95,8,"The basis of the state health care policy is formed by the Verkhovna Rada of Ukraine by establishing the constitutional and legislative principles for health care, determining the purpose, the main goals, directions, principles of priorities of the policy, establishing norms and amounts of budget financing, creating a system of appropriate credit, financial, tax, customs and other regulators, and approving national health care programs (Article 13 of the Fundamentals)."
95,9,Article 14 of the Fundamentals envisages that implementation of the state health care policy is assigned to the bodies of state executive power. Personal responsibility for this lies with the President of Ukraine. The President of Ukraine includes a report on the state of implementation of the state health care policy in his annual presentation to the Verkhovna Rada of Ukraine.
95,10,"Direct public health care is provided by sanitary and prophylactic, treatment and prophylactic, health and fitness, sanatorium and resort, apothecary, medical research, and other health care institutions. A health care institution acts based on the statute approved by the institution owner or the authorized body. Regardless of the legal status of the health care institution, it can only be managed by a person who satisfies the unified qualification requirements established by the state (Article 16 of the Fundamentals)."
95,11,"According to Article 18 of the Fundamentals, financing of health care is done at the expense of the State Budget of Ukraine, the budget of the Republic of Crimea, budgets of local and regional self-government, medical insurance funds, charity funds and any other sources not prohibited by the legislation."
95,12,"The state, through specially authorized bodies of executive power, exercises control and supervision over adherence to the health care legislation, state standards, criteria and requirements aimed at ensuring a healthy natural environment and sanitary and epidemic welfare of the population, professional norms in the sphere of health care, the requirements of the State Pharmacopeia, and standards for medical service, medical materials and technologies (Article 23 of the Fundamentals)."
95,13,Community participation in health care is envisaged by Article 24 of the Fundamentals.
95,14,"Chapter IV of the Fundamentals is dedicated to ensuring healthy and safe conditions of living. The State ensures a standard of living, which includes food, clothes, accommodation, medical care, social services and provision, which is necessary to maintain a person's health. To this end, based on scientifically founded medical, physiological, sanitary and hygienic requirements, unified minimal norms are established for wages, pensions, stipends, social benefits and other population incomes; the most vulnerable population groups are provided (including free of charge) with food products, clothes, medicines and other prime necessities; a set of measures is organized in order to provide for the living needs of the refugees, the homeless and other people without a definite place of residence; persons in a difficult material situation that presents a risk to their life and health are provided with free medical aid and social security (Article 25 of the Fundamentals)."
95,15,Article 27 of the Fundamentals envisages that unified sanitary and hygienic requirements are established in Ukraine for:
95,16,"planning and developing population centers;
constructing and exploiting industrial and other objects;
purifying and decontaminating industrial and household emissions, waste and garbage;
maintaining and using residential, industrial and service premises and territories on which they are located;
organizing public food and water supply; producing, using, storing, transporting and dumping radioactive, toxic and aggressive substances;
keeping and slaughtering cattle and wild animals; as well as other activity that may threaten the sanitary and epidemic welfare of territories and population centers."
95,17,"Creating healthy conditions for work, education, everyday life and recreation is envisaged by Article 28 of the Fundamentals."
95,18,"In the interests of preserving the gene pool of the people of Ukraine, preventing the demographic crisis, ensuring the health of the future generations and preventing hereditary diseases, the state implements a set of measures aimed at eliminating factors that have a hazardous influence on the human genetic apparatus. The state also creates a system for state genetic monitoring, organizes for medical and genetic aid for the population, and facilitates enriching and propagation of scientific knowledge in the sphere of genetics and demographics. Medical intervention that may disturb the human genetic apparatus is forbidden (Article 29 of the Fundamentals)."
95,19,"According to Article 30 of the Fundamentals, the state ensures systematic, scientifically founded prevention, treatment, localization and liquidation of mass infectious diseases. Carriers of agents of infectious diseases that are dangerous to the public are removed from work and other activity that may facilitate spreading of infectious diseases, and are subject to medical supervision and treatment at the expense of the state, and, if necessary, paid social insurance benefits. In respect of specific particularly dangerous infectious diseases, compulsory medical examinations, prophylactic vaccinations, treatment and quarantine measures may be in order, according to the procedure established by the laws of Ukraine."
95,20,"In order to protect the public health, prophylactic medical examinations are organized for minors, pregnant women, employees of enterprises, institutions and organizations with hazardous and unsafe work conditions, military servicemen and persons whose professional or other activity is associated with serving the public or an increased degree of risk for others. Owners and managers of enterprises, institutions and organizations are responsible for timely undergoing of compulsory medical examinations by their employees, and liable for hazardous consequences to the public health caused by permitting persons who had not undergone the compulsory medical examination to work. The list of population categories subject to compulsory medical examinations, their frequency, sources of financing and procedure for such examinations are determined by the Cabinet of Ministers of Ukraine (Article 31 of the Fundamentals)."
95,21,"Chapter V of the Fundamentals determines the conditions for providing treatment and prophylactic aid. Citizens of Ukraine are provided treatment and prophylactic aid by polyclinics, hospitals, health centers, clinics of research institutes and other accredited health care institutions, the ambulance service and separate medical professionals with an appropriate license (Article 33 of the Fundamentals)."
95,22,"Article 34 of the Fundamentals envisages that an attending physician can be selected directly by the patient or appointed by the head of the health care institution or its division. The obligations of the attending physician are timely and qualified examination and treatment of the patient. The patient has the right to demand a different physician. The physician has the right to refuse to continue being the attending physician of the patient, if the latter fails to observe the medical instructions or the internal regulations of the health care institutions, provided that this will not endanger the life of the patient and the public health. The physician is not responsible for the patient's health in case the latter refuses to observe the medical instructions or violates the regime established for them."
95,23,Types of treatment and prophylactic aid are established by Article 35 of the Fundamentals.
95,24,"Medical employees are obligated to provide first emergency aid in cases of accidents and acute diseases. Medical aid is provided by the ambulance service or by the nearest treatment and prophylactic institution, regardless of their departmental subordination and form of ownership, with subsequent compensation of expenses. In urgent cases, when providing medical aid is impossible due to the absence of medical employees at the site, enterprises, institutions, organizations and citizens are obligated to provide vehicles in order to transport the patient to a treatment and prophylactic institution. In such cases, first emergency aid shall also be provided by employees of the militia, fire fighting services, emergency services, drivers and representatives of other professions charged with this obligation by the legislation and their official instructions. Providing free aid to citizens in emergency situations (natural disasters, catastrophes, accidents, mass poisoning, epidemics, epizootics, radiation, bacteriological, chemical pollution, etc.) is an obligation primarily of specialized emergency medical aid alerted crews, with full compensation of the necessary expenses of the local health care institutions at the expense of centralized funds (Article 37 of the Fundamentals)."
95,25,"Article 28 of the Fundamentals grants each patient, who is aged fourteen or over, and requests medical aid, the right to free choice of physician."
95,26,"An adult patient has the right to receive reliable and complete information about their health, including being made familiar with appropriate medical documents concerning their health (Article 39 of the Fundamentals)."
95,27,"The patient has the right of secrecy in respect of the state of their health, the fact of their request for medical aid, and the information procured in the process of their medical examination. The place of the patient's work or education is forbidden to demand information on the patient's diagnosis and treatment methods, and it is forbidden to provide such information if demanded (Article 39-1 of the Fundamentals)."
95,28,"According to Article 40 of the Fundamentals, medical employees and other persons who had, through exercising their professional or official duties, become aware of the disease, medical examination, inspection and their results, or details of the personal and family life of a citizen, have no right to disclose such information, except in cases provided for by legislative acts."
95,29,General conditions of medical intervention are established by Article 42 of the Fundamentals.
95,30,"Medico-biological experiments on humans are allowed for socially valuable reasons, on the condition of their scientific feasibility, the prevalence of possible success over the risk of severe consequences to the health or life, transparency of the experiment, full disclosure of and voluntary consent to the conditions of the experiment, given by the legally capable natural person who is subject to the experiment, and under the condition of preservation of the medical secret when required. It is forbidden to conduct scientific research experiments on the ill, prisoners or prisoners of war, and to conduct therapeutic experiments on persons whose disease is not directly related to the purpose of the research (Article 45 of the Fundamentals)."
95,31,"Article 46 of the Fundamentals envisages that donation of blood and its components for their subsequent use in treatment, production of appropriate drugs or use in scientific research, is done by adult legally capable natural persons, voluntarily. Taking of blood from a natural person by force or through deceit in order to use them as a donor is forbidden."
